year,age_group,sex,icd_code,hospitalizations
2022,65-69,Female,F03,152
2022,65-69,Female,F04,2
2022,65-69,Female,F06.7,36
2022,65-69,Female,G20,192
2022,65-69,Female,G30,94
2022,65-69,Female,G31,19
2022,65-69,Female,G32,3
2022,65-69,Male,F00,36
2022,65-69,Male,F01,87
2022,65-69,Male,F02,5
2022,65-69,Male,F03,188
2022,65-69,Male,F04,1
2022,65-69,Male,F06.7,29
2022,65-69,Male,G20,312
2022,65-69,Male,G30,102
2022,65-69,Male,G31,78
2022,65-69,Male,G32,19
2022,70-74,Female,F00,96
2022,70-74,Female,F01,62
2022,70-74,Female,F02,11
2022,70-74,Female,F03,284
2022,70-74,Female,F04,1
2022,70-74,Female,F06.7,23
2022,70-74,Female,G20,340
2022,70-74,Female,G30,262
2022,70-74,Female,G31,21
2022,70-74,Female,G32,2
2022,70-74,Male,F00,56
2022,70-74,Male,F01,103
2022,70-74,Male,F02,12
2022,70-74,Male,F03,315
2022,70-74,Male,F06.7,45
2022,70-74,Male,G20,494
2022,70-74,Male,G30,188
2022,70-74,Male,G31,59
2022,70-74,Male,G32,14
2022,75-79,Female,F00,177
2022,75-79,Female,F01,119
2022,75-79,Female,F02,13
2022,75-79,Female,F03,572
2022,75-79,Female,F06.7,52
2022,75-79,Female,G20,473
2022,75-79,Female,G30,611
2022,75-79,Female,G31,26
2022,75-79,Female,G32,2
2022,75-79,Male,F00,113
2022,75-79,Male,F01,155
2022,75-79,Male,F02,21
2022,75-79,Male,F03,497
2022,75-79,Male,F06.7,54
2022,75-79,Male,G20,612
2022,75-79,Male,G30,375
2022,75-79,Male,G31,68
2022,75-79,Male,G32,5
2022,80+,Female,F00,971
2022,80+,Female,F01,279
2022,80+,Female,F02,29
2022,80+,Female,F03,2765
2022,80+,Female,F04,2
2022,80+,Female,F06.7,174
2022,80+,Female,G20,933
2022,80+,Female,G30,2844
2022,80+,Female,G31,81
2022,80+,Female,G32,3
2022,80+,Male,F00,425
2022,80+,Male,F01,259
2022,80+,Male,F02,36
2022,80+,Male,F03,1583
2022,80+,Male,F04,1
2022,80+,Male,F06.7,110
2022,80+,Male,G20,1073
2022,80+,Male,G30,1332
2022,80+,Male,G31,103
2022,80+,Male,G32,8
2023,0-4,Female,F03,1
2023,0-4,Female,F06.7,1
2023,0-4,Female,G31,23
2023,0-4,Female,G32,2
2023,0-4,Male,F06.7,1
2023,0-4,Male,G31,28
2023,0-4,Male,G32,1
2023,10-14,Female,F03,1
2023,10-14,Female,F06.7,7
2023,10-14,Female,G32,3
2023,10-14,Male,F06.7,6
2023,10-14,Male,G31,8
2023,15-19,Female,F03,1
2023,15-19,Female,F06.7,11
2023,15-19,Female,G30,2
2023,15-19,Male,F06.7,23
2023,15-19,Male,G31,2
2023,20-24,Female,F03,2
2023,20-24,Female,F06.7,16
2023,20-24,Female,G20,1
2023,20-24,Female,G31,2
2023,20-24,Female,G32,1
2023,20-24,Male,F06.7,11
2023,20-24,Male,G20,2
2023,20-24,Male,G31,3
2023,20-24,Male,G32,2
2023,25-29,Female,F06.7,11
2023,25-29,Female,G31,2
2023,25-29,Female,G32,2
2023,25-29,Male,F03,3
2023,25-29,Male,F06.7,11
2023,25-29,Male,G20,1
2023,25-29,Male,G31,2
2023,25-29,Male,G32,1
2023,30-34,Female,F03,3
2023,30-34,Female,F06.7,17
2023,30-34,Female,G20,5
2023,30-34,Female,G30,1
2023,30-34,Female,G31,6
2023,30-34,Female,G32,4
2023,30-34,Male,F01,3
2023,30-34,Male,F06.7,8
2023,30-34,Male,G20,1
2023,30-34,Male,G30,1
2023,30-34,Male,G31,9
2023,30-34,Male,G32,1
2023,35-39,Female,F03,3
2023,35-39,Female,F06.7,10
2023,35-39,Female,G20,3
2023,35-39,Female,G30,2
2023,35-39,Female,G31,2
2023,35-39,Female,G32,5
2023,35-39,Male,F03,4
2023,35-39,Male,F06.7,23
2023,35-39,Male,G20,4
2023,35-39,Male,G31,12
2023,35-39,Male,G32,4
2023,40-44,Female,F01,3
